doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,mo_key,error,new_keys,new_reasoning,result
10.16910/jemr.12.4.10,Binocular advantages in reading revisited: attenuating effects of individual horizontal heterophoria,10.1016/j.cub.2014.01.014,Binocular Advantages in Reading,judged,mo,['Individual differences in binocular coordination are uncovered by directly comparing monocular and binocular reading conditions'],['10.1167/iovs.12-9707'],@jainta2014,gpt-5.6-luna,@jainta2012,,['@jainta2014'],"The paper explicitly describes a large-scale replication of its earlier small-sample finding, which matches Jainta and Blythe’s listed 2014 paper; the other cited works are not identified as findings this paper re-tests.",same as old
10.1038/s41598-021-87130-0,Lack of association of CD44-rs353630 and CHI3L2-rs684559 with pancreatic ductal adenocarcinoma survival,10.1093/carcin/bgw080,Association of genetic polymorphisms with survival of pancreatic ductal adenocarcinoma patients,judged,mo,['Identification and validation of a biomarker signature in patients with resectable pancreatic cancer via genome-wide screening for functional genetic variants'],['10.1001/jamasurg.2019.0484'],@rizzato2016,gpt-5.6-luna,@dimitrakopoulos2019,,['@dimitrakopoulos2019'],"The paper explicitly re-tests the two-marker survival associations, which match the cited biomarker-signature study; the other listed works are not identified as the source of those findings.",switches to MO's
10.1038/s41598-021-91976-9,The effect of congenital blindness on resting-state functional connectivity revisited,10.3389/fnsys.2014.00051,Resting state functional connectivity in early blind humans,judged,both,['Resting state connectivity differences in eyes open versus eyes closed conditions'],['10.1002/hbm.24539'],@burton2014,gpt-5.6-luna,@agcaoglu2019,,[],The abstract explicitly re-tests two previously reported findings but supplies no author-year citation or title that uniquely identifies either original record.,declines
10.5753/sbqs.2016.15130,Experimental Evaluation of FMCheck: A Replication Study,10.1109/sbcars.2012.25,Checklist-Based Inspection Technique for Feature Models Review,judged,both,['Verification of software product line artifacts: A checklist to support feature model inspections'],['10.3217/jucs-020-05-0720'],@mello2012,gpt-5.6-luna,,,['@mello2012'],"The abstract identifies a replication of the FMCheck developers’ first study, which matches the listed 2012 checklist-based feature-model inspection paper; the other references are not presented as findings this paper re-tests.",same as old
10.1002/jae.2850,"A one covariate at a time, multiple testing approach to variable selection in high‐dimensional linear regression models: A replication in a narrow sense",10.3982/ecta14176,"A One Covariate at a Time, Multiple Testing Approach to Variable Selection in High-Dimensional Linear Regression Models",judged,split,"['A one covariate at a time, multiple testing approach to variable selection in highdimensional linear regression models']",['10.24149/gwp290'],@chudk2018,gpt-5.6-luna,@chudk2018,,['@chudk2018'],"The paper explicitly says it replicates Chudik, Kapetanios, and Pesaran’s OCMT results; Stock and Watson is not identified as a re-tested finding.",same as old
10.1007/s00426-021-01593-4,Mental heartbeat tracking and rating of emotional pictures are not related,10.1111/j.1469-8986.1981.tb02486.x,Heart Beat Perception and Emotional Experience,judged,mo,"['On the relationship between interoceptive awareness, emotional experience, and brain processes']",['10.1016/j.cogbrainres.2005.09.019'],@schandry1981,gpt-5.6-luna,@pollatos2005,,[],"The abstract explicitly says the paper conceptually replicates prior findings but supplies no citation identifying which original papers those findings came from, so no listed reference can be matched with certainty.",declines
10.1111/spsr.12479,Boosting the Understanding and Approval of Anti‐Corona Measures–Reducing Exponential Growth Bias and its Effects through Educational Nudges,10.1016/j.socscimed.2020.113473,Exponential-growth prediction bias and compliance with safety measures related to COVID-19,judged,mo,['Correcting misperceptions of exponential coronavirus growth increases support for social distancing'],['10.1073/pnas.2006048117'],@banerjee2020,gpt-5.6-luna,@lammers2020,,['@lammers2020'],"The paper explicitly says it replicates the described 2020 U.S. Amazon MTurk experiment, which matches Lammers et al.; the other listed studies are not identified as being re-tested.",switches to MO's
10.1111/ejn.15512,Microstructural white matter abnormalities in Lesch–Nyhan disease,10.1212/wnl.0000000000001128,Brain white matter volume abnormalities in Lesch-Nyhan disease and its variants,judged,mo,['Regional brain volume abnormalities in Lesch-Nyhan disease and its variants: A cross-sectional study'],['10.1016/s1474-4422(13)70238-2'],@schretlen2014,gpt-5.6-luna,@schretlen2013,,[],"The abstract explicitly says earlier volume findings were replicated, but it gives no citation and the supplied evidence does not distinguish between the listed Schretlen volume studies.",declines
10.1371/journal.pone.0262902,Examining the reliability and validity of two versions of the Effort-Expenditure for Rewards Task (EEfRT),10.1371/journal.pone.0006598,Worth the ‘EEfRT’? The Effort Expenditure for Rewards Task as an Objective Measure of Motivation and Anhedonia,judged,mo,"['Trait anticipatory pleasure predicts effort expenditure for reward', 'A low dosage of the dopamine D2-receptor antagonist sulpiride affects effort allocation for reward regardless of trait extraversion']","['10.1371/journal.pone.0131357', '10.1017/pen.2020.7']",@treadway2009,gpt-5.6-luna,@geaney2015,,[],"The abstract explicitly reports replicating split-half reliability, establishing a target, but it gives no citation or title that identifies the original study; the comparison between personality correlations in the paper’s own studies does not establish another original target.",declines
10.1080/13803611.2021.2022316,Effects of early mathematics intervention for low-SES pre-kindergarten and kindergarten students: a replication study,10.1016/j.ecresq.2004.01.002,Enhancing young children’s mathematical knowledge through a pre-kindergarten mathematics intervention,judged,mo,['Effects of a pre-kindergarten mathematics intervention: A randomized experiment'],['10.1080/19345740802114533'],@starkey2004,gpt-5.4-mini,@klein2008,,[],"The abstract identifies a replication of the Pre-K Mathematics efficacy finding but does not name its original publication, and the supplied evidence does not establish which listed reference reported that finding.",declines
10.1371/journal.pone.0263879,The real-time status of strong and weak islands,10.1353/lan.2006.0217,The real-time status of island phenomena,judged,mo,['Parsing WH-constructions: evidence for on-line gap location'],['10.1080/01690968608407062'],@phillips2006,gpt-5.6-luna,@stowe1986,,[],"The abstract explicitly describes Experiment 1 as a conceptual replication but does not identify the prior studies, so the cited works cannot be assigned as specific targets.",declines
10.1080/20473869.2022.2044594,Personality traits predict attitudes toward individuals with intellectual disability,10.1177/0265407510385494,Contact and knowledge as predictors of attitudes toward individuals with intellectual disabilities,judged,split,['The role of personality variables in predicting attitudes toward people with intellectual disability: An Australian perspective'],['10.1111/jir.12180'],@mcmanus2010,gpt-5.6-luna,@page2015,,['@mcmanus2010'],McManus et al. is the cited work whose measures and contact-prediction finding are explicitly tied to the reported replication; other cited works are not shown to have their findings re-tested.,same as old
10.1111/sjop.12816,To vaccinate or not: The relationship between conscientiousness and individual attitudes toward vaccination in real‐life contexts,10.1186/s12889-020-09840-w,Personality and individual attitudes toward vaccination: a nationally representative survey in the United States,judged,both,"[""Personality and demographic correlates of New Zealanders' confidence in the safety of childhood vaccinations""]",['10.1016/j.vaccine.2017.09.061'],@lin2020,gpt-5.6-luna,@lee2017,,[],"Study 1 explicitly re-tests and reports replicating a prior conscientiousness–vaccination-attitudes finding, but the supplied text does not link that finding to a specific listed reference.",declines
10.3390/ijerph19084912,"Materialism, Egocentrism and Delinquent Behavior in Chinese Adolescents in Mainland China: A Short-Term Longitudinal Study",10.1080/15374410903401179,The Cost of Materialism in a Collectivistic Culture: Predicting Risky Behavior Engagement in Chinese Adolescents,judged,mo,['Concurrent and longitudinal predictors of adolescent delinquency in mainland Chinese adolescents: The role of materialism and egocentrism'],['10.3390/ijerph17207662'],@auerbach2009,gpt-5.6-luna,@shek2020c,,[],"The abstract explicitly identifies one prior study as a replication target, but does not name it or connect that description to any particular listed reference, so the other cited works cannot be included as targets.",declines
10.3758/s13423-022-02158-1,"Pragmatic, constructive, and reconstructive memory influences on the hindsight bias",10.1037/0096-1523.1.3.288,Hindsight is not equal to foresight: The effect of outcome knowledge on judgment under uncertainty.,judged,mo,"['On the psychology of experimental surprises', 'On the psychology of experimental surprises']","['10.1037/0096-1523.3.4.544', '10.1037/0096-1523.3.4.544']",@fischhoff1975,gpt-5.6-luna,@slovic1977,,[],"The abstract explicitly reports replicating two design-specific hindsight-bias findings, but it does not link them to any particular cited original, so no listed reference can be matched with certainty.",declines
10.3390/cells11203242,Decreased Oligodendrocyte Number in Hippocampal Subfield CA4 in Schizophrenia: A Replication Study,10.3389/fncel.2016.00078,Oligodendrocyte and Interneuron Density in Hippocampal Subfields in Schizophrenia and Association of Oligodendrocyte Number with Cognitive Deficits,judged,mo,['Stereologic investigation of the posterior part of the hippocampus in schizophrenia'],['10.1007/s00401-008-0430-y'],@falkai2016b,gpt-5.6-luna,@schmitt2008,,[],"The abstract clearly says that previously reported findings were retested, but the supplied text does not name their authors or year, and more than one listed record could fit.",declines
10.3389/fpsyg.2022.932592,The effects of wakeful rest on memory consolidation in an online memory study,10.3389/fnbeh.2017.00054,Non-Interfering Effects of Active Post-Encoding Tasks on Episodic Memory Consolidation in Humans,judged,mo,"['Promotion and suppression of autobiographical thinking differentially affect episodic memory consolidation', 'Promotion and suppression of autobiographical thinking differentially affect episodic memory consolidation']","['10.1371/journal.pone.0201780', '10.1371/journal.pone.0201780']",@varma2017,gpt-5.6-luna,@varma2018,,['@varma2017'],"The paper explicitly identifies the Varma finding as a replication target, while the other cited works are not stated to be re-tested.",same as old
10.1017/s1366728922000748,The contributions of proficiency and semantics to the bilingual sentence superiority effect,10.1038/s41598-021-99565-6,The contribution of semantics to the sentence superiority effect,judged,mo,['Unified syntax in the bilingual mind'],['10.3758/s13423-019-01666-x'],@massol2021,gpt-5.6-luna,@declerck2019,,[],"The abstract explicitly identifies a re-tested bilingual SSE but gives no author or year tying that finding to one particular listed study, and it does not state that any other cited work was re-tested.",declines
10.1098/rstb.2021.0459,"Looking at the Ebbinghaus illusion: differences in neurocomputational requirements, not gaze-mediated attention, explain a classic perception-action dissociation",10.1016/s0960-9822(01)00023-9,The dissociation between perception and action in the Ebbinghaus illusion,judged,mo,['Size-contrast illusions deceive the eye but not the hand'],['10.1016/s0960-9822(95)00133-3'],@haffenden2001,gpt-5.6-luna,@aglioti1995,,[],"The abstract says the paper replicated the classic dissociation but does not identify a particular prior study whose finding it re-tested, so the cited studies cannot be selected as targets from the supplied evidence.",declines
10.1007/s10763-023-10368-9,The Novelty Effect on Assessment Interventions: a Qualitative Replication Study of Oral Performance Assessment in Undergraduate Mathematics,10.1080/02602938.2014.961124,Students’ views of oral performance assessment in mathematics: straddling the ‘assessment of’ and ‘assessment for’ learning divide,judged,mo,"[""The impact of high stakes oral performance assessment on students' approaches to learning: A case study""]",['10.1007/s10649-020-09937-4'],@iannone2014,gpt-5.6-luna,@iannone2020,,['@iannone2014'],"The abstract identifies one earlier oral-assessment study as the study whose results are being compared, matching Iannone and Simpson (2014); other cited works are not stated to be re-tested.",same as old
10.1515/cti-2022-0032,Don’t we know enough about models? Integrating a replication study into an introductory chemistry course in higher education,10.1039/d0rp00084a,Evaluation of the students’ understanding of models in science (SUMS) for use in undergraduate chemistry,judged,mo,"[""Students' understanding of the role of scientific models in learning science""]",['10.1080/09500690110066485'],@lazenby2020,gpt-5.6-luna,@treagust2002,,['@lazenby2020'],"The abstract identifies a replication of the SUMS instrument, and Lazenby and Becker’s listed paper specifically evaluates SUMS for undergraduate chemistry; other cited works are not shown to have their findings re-tested.",same as old
10.1093/schbul/sbad161,A Cross-sectional Conceptual Replication and Longitudinal Evaluation of the PANSS-Autism-Severity-Score Measure Suggests it Does Not Capture Autistic Traits in Individuals With Psychosis,10.1016/j.psychres.2018.10.074,Looking through autistic features in schizophrenia using the PANSS Autism Severity Score (PAUSS),judged,mo,['Autism beyond diagnostic categories: characterization of autistic phenotypes in schizophrenia'],['10.1186/s12888-015-0494-x'],@deste2018,gpt-5.6-luna,@kstner2015,,['@deste2018'],"The paper explicitly re-runs analyses from the PAUSS original validation, identifiable as Deste et al. (2018); other cited works are background or contextual studies rather than findings it re-tests.",same as old
10.1002/mrm.29947,Replication of the <scp>bSTAR</scp> sequence and open‐source implementation,10.1002/mrm.29757,Submillimeter lung MRI at 0.55 T using balanced steady‐state free precession with half‐radial dual‐echo readout (bSTAR),judged,mo,"['Balanced steady-state free precession thoracic imaging with half-radial dual-echo readout on smoothly interleaved archimedean spirals', 'Free-breathing half-radial dual-echo balanced steady-state free precession thoracic imaging with wobbling Archimedean spiral pole trajectories']","['10.1002/mrm.28119', '10.1016/j.zemedi.2022.01.003']",@bauman2023,gpt-5.6-luna,@bieri2022,,['@bauman2023'],"The paper explicitly re-tests the published bSTAR technique, which matches Bauman et al. (2023); the other cited works provide methods or background rather than findings this paper re-tests.",same as old
10.1371/journal.pgen.1011192,Canadian COVID-19 host genetics cohort replicates known severity associations,10.1038/s41586-021-03767-x,Mapping the human genetic architecture of COVID-19,judged,mo,"['A second update on mapping the human genetic architecture of COVID-19', 'A second update on mapping the human genetic architecture of COVID-19', 'A second update on mapping the human genetic architecture of COVID-19']","['10.1038/s41586-023-06355-3', '10.1038/s41586-023-06355-3', '10.1038/s41586-023-06355-3']",@initiative2021,gpt-5.6-luna,,,['@initiative2021'],"The paper explicitly re-tests and reports replication of HGI severity loci, matching the listed HGI genetic-architecture study; the other cited works are not identified as findings being re-tested.",same as old
10.1089/cyber.2024.0136,Does Online Dating Make Relationships More Successful? Replication and Extension of a Previous Study,10.1073/pnas.1222447110,Marital satisfaction and break-ups differ across on-line and off-line meeting venues,judged,mo,['The online dating effect: Where a couple meets predicts the quality of their marriage'],['10.1016/j.chb.2023.107973'],@cacioppo2013,gpt-5.6-luna,@sharabi2023,,[],"The abstract explicitly says the study replicates a previous study, but it supplies no author or year and the listed references include multiple plausible records, so the target cannot be matched with certainty.",declines
10.70923/001c.72403,Attempted Replication of Excess Heat in the Letts Dual-laser Experiment,10.70923/001c.72121,Terahertz difference frequency response of PdD in two-laser experiments,judged,both,['Highly reproducible LENR experiments using dual laser stimulation'],['https://brillouinenergy.com/newwebsite/wp-content/uploads/2018/11/highly-reproducible-lenr-experiments-using-dual-laser-stimulation.pdf'],@hagelstein2010,gpt-5.6-luna,,,[],"The title and abstract identify a replication of Letts' dual-laser excess-heat finding, but the supplied text does not uniquely connect that finding to either of the two Letts-associated 2010 records in the reference list.",declines
10.3389/fpsyg.2024.1472489,Setting the tone: crossmodal emotional face-voice combinations in continuous flash suppression,10.1037/1528-3542.7.4.882,Fearful expressions gain preferential access to awareness during continuous flash suppression.,judged,split,['Are visual threats prioritized without awareness? A critical review and meta-analysis involving 3 behavioral paradigms and 2696 observers'],['10.1037/bul0000054'],@yang2007,gpt-5.6-luna,@hedger2016,,[],"The abstract explicitly reports replicating earlier fearful-face findings, but does not name the target studies, so the other cited works cannot be identified as targets from the supplied evidence.",declines
10.1007/s00426-025-02211-3,Attentional capture by real and illusory faces: a failure to replicate,10.3758/s13414-021-02267-4,A visual search advantage for illusory faces in objects,judged,mo,"['Attention capture by faces', 'Attention capture by faces']","['10.1016/j.cognition.2007.07.012', '10.1016/j.cognition.2007.07.012']",@keys2021,gpt-5.6-luna,@langton2007,,[],"The supplied title and abstract describe a failure to replicate a general claim about attentional capture, but do not identify any specific published study as being re-tested.",declines
10.1093/oncolo/oyab021,Physician Perceptions of the FDA’s Breakthrough Therapy Designation: An Update,10.1001/jama.2015.16984,Physicians’ Knowledge About FDA Approval Standards and Perceptions of the “Breakthrough Therapy” Designation,control,agrees_with_mo,"[""Physicians' knowledge about FDA approval standards and perceptions of the 'breakthrough therapy' designation""]",['10.1001/jama.2015.16984'],@kesselheim2016,gpt-5.6-luna,@kesselheim2016,,['@kesselheim2016'],"The paper explicitly says it replicated questions from the 2016 survey, while the other listed works are not identified as findings this paper re-tests.",same as old
10.1371/journal.pone.0023371,Large Scale Replication Study of the Association between HLA Class II/BTNL2 Variants and Osteoarthritis of the Knee in European-Descent Populations,10.1371/journal.pone.0009723,New Sequence Variants in HLA Class II/III Region Associated with Susceptibility to Knee Osteoarthritis Identified by Genome-Wide Association Study,control,agrees_with_mo,"['New sequence variants in HLA class II/III region associated with susceptibility to knee osteoarthritis identified by genome-wide association study', 'New sequence variants in HLA class II/III region associated with susceptibility to knee osteoarthritis identified by genome-wide association study']","['10.1371/journal.pone.0009723', '10.1371/journal.pone.0009723']",@nakajima2010,gpt-5.6-luna,@nakajima2010,,['@nakajima2010'],"The paper tests the knee-OA association for variants derived from Nakajima et al.'s Japanese GWAS, while the other cited works are not identified as findings this paper re-tests.",same as old
10.1121/10.0015093,Revisiting the left ear advantage for phonetic cues to talker identification,10.1016/j.bandl.2006.06.002,Training to use voice onset time as a cue to talker identification induces a left-ear/right-hemisphere processing advantage,control,agrees_with_mo,"['Training to use voice onset time as a cue to talker identification induces a left-ear/right-hemisphere processing advantage', 'Training to use voice onset time as a cue to talker identification induces a left-ear/right-hemisphere processing advantage']","['10.1016/j.bandl.2006.06.002', '10.1016/j.bandl.2006.06.002']",@francis2006,gpt-5.6-luna,@francis2006,,['@francis2006'],"Both experiments re-test the left-ear advantage attributed to Francis and Driscoll, while the other cited works are not identified as findings this paper re-tests.",same as old
10.5430/jnep.v3n6p51,Logo-autobiography and its effectiveness on depressed Korean immigrant women: A replication study,10.1177/1043659612452005,Logo-Autobiography and Its Effectiveness on Depressed Korean Immigrant Women,control,agrees_with_mo,['Logo-Autobiography and its effectiveness on depressed Korean immigrant women'],['10.1177/1043659612452005'],@cho2012,gpt-5.4-mini,@cho2012,,['@cho2012'],The title identifies this as a replication of the matching Logo-Autobiography study by Cho et al. (2012); other cited works are not identified as findings this paper re-tests.,same as old
10.1158/1055-9965.epi-11-0396,Circulating Soluble CD30 and Future Risk of Lymphoma; Evidence from Two Prospective Studies in the General Population,10.1182/blood-2009-04-217521,A prospective study of serum soluble CD30 concentration and risk of non-Hodgkin lymphoma,control,agrees_with_mo,['A prospective study of serum soluble CD30 concentration and risk of non-Hodgkin lymphoma'],['10.1182/blood-2009-04-217521'],@purdue2009,gpt-5.6-luna,@purdue2009,,['@purdue2009'],The paper compares its replicated sCD30–lymphoma risk finding with the previous prospective study by Purdue et al.; the other listed works are not identified as findings re-tested here.,same as old
10.3389/fpsyg.2021.662828,Replication Studies on Significant Differences in Personality Profiles of Securely and Insecurely Attached Psychotherapists and Dentists,10.3389/fpsyg.2020.00611,"Significant Differences in Personality Styles of Securely and Insecurely Attached Psychotherapists: Data, Reflections and Implications",control,agrees_with_mo,"['Significant differences in personality styles of securely and insecurely attached psychotherapists. Data, reflections and implications', 'Significant differences in personality styles of securely and insecurely attached psychotherapists. Data, reflections and implications', 'Significant differences in personality styles of securely and insecurely attached psychotherapists. Data, reflections and implications']","['10.3389/fpsyg.2020.00611', '10.3389/fpsyg.2020.00611', '10.3389/fpsyg.2020.00611']",@peter2020b,gpt-5.6-luna,@peter2020b,,['@peter2020b'],"The paper explicitly re-tests the preceding study’s nine personality-style differences, matching the listed Peter and Böbel (2020) record; other cited works are not identified as findings being re-tested.",same as old
10.1038/s41598-022-05923-3,Irrelevant insights make worldviews ring true,10.1016/j.cognition.2019.104122,The dark side of Eureka: Artificially induced Aha moments make facts feel true,control,agrees_with_mo,['The dark side of Eureka: Artificially induced aha moments make facts feel true'],['10.1016/j.cognition.2019.104122'],@laukkonen2019,gpt-5.6-luna,@laukkonen2019,,[],The abstract establishes that one direct replication occurred but does not identify its target; the other listed works cannot be included based on citation or topical similarity alone.,declines
10.1074/jbc.c112.394403,Growth of a Bacterium That Apparently Uses Arsenic Instead of Phosphorus Is a Consequence of Massive Ribosome Breakdown*,10.1126/science.1197258,RETRACTED: A Bacterium That Can Grow by Using Arsenic Instead of Phosphorus,control,agrees_with_mo,['RETRACTED: A Bacterium That Can Grow by Using Arsenic Instead of Phosphorus'],['10.1126/science.1197258'],@wolfesimon2010,gpt-5.6-luna,@wolfesimon2010,,['@wolfesimon2010'],The paper explicitly offers an alternative explanation for the observations of Wolfe-Simon et al.; the other cited works are not identified as findings this paper re-tests.,same as old
10.1177/0145445515580533,Replication Study of the Milwaukee Inventory for Subtypes of Trichotillomania–Adult Version in a Clinically Characterized Sample,10.1007/s10862-007-9073-x,The Milwaukee Inventory for Subtypes of Trichotillomania-Adult Version (MIST-A): Development of an Instrument for the Assessment of “Focused” and “Automatic” Hair Pulling,control,agrees_with_mo,"['The Milwaukee Inventory for Subtypes of Trichotillomania-Adult version (MIST-A): Development of an instrument for the assessment of ""focused"" and ""automatic"" hair pulling']",['10.1007/s10862-007-9073-x'],@flessner2007,gpt-5.6-luna,@flessner2007,,['@flessner2007'],"The title identifies a replication of the MIST-A, matching the listed 2007 MIST-A development paper; other cited works are not identified as findings this paper re-tests.",same as old
10.1186/s12967-018-1488-5,A validation study of crescents in predicting ESRD in patients with IgA nephropathy,10.1681/asn.2016040433,A Multicenter Study of the Predictive Value of Crescents in IgA Nephropathy,control,agrees_with_mo,['A multicenter study of the predictive value of crescents in IgA nephropathy'],['10.1681/asn.2016040433'],@haas2016,gpt-5.6-luna,@haas2016,,['@haas2016'],The paper tests the previously reported prognostic association of crescents in an independent Chinese cohort; other cited works are not identified as the finding being re-tested.,same as old
10.1002/jcv2.12077,Subdimensions of social‐communication behavior in autism—A replication study,10.1111/jcpp.12510,Subdimensions of social‐communication impairment in autism spectrum disorder,control,agrees_with_mo,['Subdimensions of social-communication impairment in autism spectrum disorder'],['10.1111/jcpp.12510'],@bishop2016,gpt-5.6-luna,,,['@bishop2016'],"The paper explicitly re-tests the previously reported three-factor model, which matches the listed Bishop et al. (2016) study; other cited works are not identified as the finding being re-tested.",same as old
10.1097/00001888-197801000-00005,Another look at learning style inventory and medical career choice,10.1097/00001888-197509000-00002,Primary care career choices and medical student learning styles,control,agrees_with_mo,['Primary care career choices and medical student learning styles'],['10.1097/00001888-197509000-00002'],@plovnick1975,gpt-5.6-luna,@plovnick1975,,['@plovnick1975'],"The abstract identifies this as a replication and contrasts its results with the prior findings, and the sole listed reference is the matching study on medical career choices and learning styles.",same as old
10.1162/nol.a.15,Neural Oscillations in the Aging Brain Associated With Interference Control in Word Production,10.1371/journal.pone.0088674,Distinct Patterns of Brain Activity Characterise Lexical Activation and Competition in Spoken Word Production,control,agrees_with_mo,['Distinct patterns of brain activity characterise lexical activation and competition in spoken word production'],['10.1371/journal.pone.0088674'],@piai2014,gpt-5.6-luna,@piai2014,,['@piai2014'],The abstract explicitly says the study conceptually replicated Piai et al. (2014); other cited works are not identified as findings this paper re-tests.,same as old
10.1212/01.wnl.0000137051.33486.c7,Failure to confirm association of a polymorphism in <i>ABCB1</i> with multidrug-resistant epilepsy,10.1056/nejmoa021986,Association of Multidrug Resistance in Epilepsy with a Polymorphism in the Drug-Transporter GeneABCB1,control,agrees_with_mo,['Association of multidrug resistance in epilepsy with a polymorphism in the drug-transporter gene ABCB1'],['10.1056/nejmoa021986'],@siddiqui2003,gpt-5.6-luna,@siddiqui2003,,['@siddiqui2003'],"The abstract explicitly re-tests the previously reported ABCB1 association, which matches Siddiqui et al. (2003); the other cited works are not identified as findings this paper re-tests.",same as old
10.1093/bjsw/bcae011,Mindfulness-Based Social Work and Self-Care with Social Work Professionals: Replication and Expansion of a Randomised Controlled Trial,10.1007/s12144-023-04410-w,A randomised trial of Mindfulness-based Social Work and Self-Care with social workers,control,agrees_with_mo,['A randomised trial of mindfulness-based social work and self-care with social workers'],['10.1007/s12144-023-04410-w'],@maddock2023,gpt-5.6-luna,@maddock2023,,['@maddock2023'],"The abstract explicitly says this RCT replicates the findings of an earlier MBSWSC RCT, which matches the listed Maddock et al. 2023 randomised trial; other cited works are not identified as the trial being retested.",same as old
10.1111/j.1601-183x.2010.00649.x,Contribution of LPHN3 to the genetic susceptibility to ADHD in adulthood: a replication study,10.1038/mp.2010.6,"A common variant of the latrophilin 3 gene, LPHN3, confers susceptibility to ADHD and predicts effectiveness of stimulant medication",control,agrees_with_mo,"['A common variant of the latrophilin 3 gene, LPHN3, confers susceptibility to ADHD and predicts effectiveness of stimulant medication']",['10.1038/mp.2010.6'],@arcosburgos2010,gpt-5.6-luna,@arcosburgos2010,,['@arcosburgos2010'],"The paper explicitly re-tests the previously reported LPHN3–ADHD association, which matches Arcos-Burgos et al. (2010); other cited works are not identified as findings this paper re-tests.",same as old
10.1007/s10484-020-09484-x,Efficiency of Illusory Choice Used as a Variant of Situation Selection for Regulating Emotions: Reduction of Positive Experience But Preservation of Physiological Downregulation,10.1038/s41598-017-12626-7,"The regulatory effect of choice in Situation Selection reduces experiential, exocrine and respiratory arousal for negative emotional stimulations",control,agrees_with_mo,"['The regulatory effect of choice in situation selection reduces experiential, exocrine and respiratory arousal for negative emotional stimulations']",['10.1038/s41598-017-12626-7'],@thuillard2017,gpt-5.6-luna,@thuillard2017,,['@thuillard2017'],"The abstract explicitly says it replicates prior situation-selection observations, and the reference list identifies the uniquely matching Thuillard and Glauser (2017) paper; other cited works are not named as replication targets.",same as old
10.1371/journal.pone.0124170,A Cross-Cultural Perspective on the Preference for Potential Effect: An Individual Participant Data (IPD) Meta-Analysis Approach,10.1037/a0029227,The preference for potential.,control,agrees_with_mo,['The preference for potential'],['10.1037/a0029227'],@tormala2012,gpt-5.6-luna,@tormala2012,,['@tormala2012'],Only Tormala et al. (2012) is explicitly described as the study replicated; other cited works are background or methodological references.,same as old
10.3389/fnhum.2013.00817,Functional diffusion tensor imaging at 3 Tesla,10.1371/journal.pone.0003631,Functional Diffusion Tensor Imaging: Measuring Task-Related Fractional Anisotropy Changes in the Human Brain along White Matter Tracts,control,agrees_with_mo,['Functional diffusion tensor imaging: measuring task-related fractional anisotropy changes in the human brain along white matter tracts'],['10.1371/journal.pone.0003631'],@mandl2008,gpt-5.6-luna,@mandl2008,,['@mandl2008'],"The paper explicitly re-tests the previous fDTI study, identifiable as Mandl et al. (2008); the other cited works are not described as findings this paper re-tests.",same as old
10.2478/jagi-2018-0001,Towards General Evaluation of Intelligent Systems: Lessons Learned from Reproducing AIQ Test Results,10.1007/978-3-642-44958-1_18,An Approximation of the Universal Intelligence Measure,control,agrees_with_mo,"['An approximation of the universal intelligence measure', 'An approximation of the universal intelligence measure', 'An approximation of the universal intelligence measure']","['10.1007/978-3-642-44958-1_18', '10.1007/978-3-642-44958-1_18', '10.1007/978-3-642-44958-1_18']",@legg2013,gpt-5.6-luna,@legg2013,,['@legg2013'],"The paper explicitly says it replicates results reported by Legg and Veness, while the other cited works are not identified as findings re-tested here.",same as old
10.1016/j.ctim.2023.102965,A replication study of a psychotherapy incorporating horses resiliency intervention for healthcare workers,10.1016/j.ctcp.2022.101660,A pilot observational study of a psychotherapy incorporating equines resiliency intervention for staff at a large medical center,control,agrees_with_mo,['A pilot observational study of a psychotherapy incorporating equines resiliency intervention for staff at a large medical center'],['10.1016/j.ctcp.2022.101660'],@marchand2022b,gpt-5.4-mini,@marchand2022b,,['@marchand2022b'],"The abstract identifies a previous PIH resiliency intervention study for healthcare workers, which matches Marchand et al. (2022); the other listed works are not identified as findings re-tested here.",same as old
10.1093/schizbullopen/sgaa009,Replication of Associations With Psychotic-Like Experiences in Middle Childhood From the Adolescent Brain Cognitive Development (ABCD) Study,10.1001/jamapsychiatry.2018.1334,Assessment of the Prodromal Questionnaire–Brief Child Version for Measurement of Self-reported Psychoticlike Experiences in Childhood,control,agrees_with_mo,['Assessment of the prodromal questionnaire-brief child version for measurement of self-reported psychotic-like experiences in childhood'],['10.1001/jamapsychiatry.2018.1334'],@karcher2018,gpt-5.6-luna,,,['@karcher2018'],"The paper explicitly retests prior PQ-BC construct-validity and psychometric findings, which match the listed Karcher et al. study; its other citations provide background or methods rather than additional re-tested findings.",same as old
10.1534/genetics.106.067108,How Repeatable Are Associations Between Polymorphisms in <i>achaete–scute</i> and Bristle Number Variation in Drosophila?,10.1093/genetics/154.3.1255,Both Naturally Occurring Insertions of Transposable Elements and Intermediate Frequency Polymorphisms at the achaete-scute Complex Are Associated With Variation in Bristle Number in Drosophila melanogaster,control,agrees_with_mo,['Both naturally occurring insertions of transposable elements and intermediate frequency polymorphisms at the achaete-scute complex are associated with variation in bristle number in Drosophila melanogaster'],['10.1093/genetics/154.3.1255'],@long2000,gpt-5.6-luna,@long2000,,['@long2000'],"The paper explicitly re-tests the prior MC22 association, which matches Long et al. (2000), while its other cited works are not identified as findings re-tested here.",same as old
