doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,rewrite,rewritable,renamed_keys,mo_key,error,new_keys,new_reasoning,result
10.3389/fgene.2020.00827,Replication of the Association Between Keratoconus and Polymorphisms in PNPLA2 and MAML2 in a Han Chinese Population,10.1093/hmg/ddr460,"A genome-wide association study identifies a potential novel gene locus for keratoconus, one of the commonest causes for corneal transplantation in developed countries",judged,mo,"['Association of genetic variation with keratoconus', 'Association of genetic variation with keratoconus']","['10.1001/jamaophthalmol.2019.5293', '10.1001/jamaophthalmol.2019.5293']",@li2011,gpt-5.6-luna,exact,True,1,@mccomish2019,,[],"The paper explicitly re-tests the GWAS findings at both loci, which constitute one target study, but the supplied text does not name its authors or year and does not distinguish among the listed GWAS records.",declines
10.1016/j.jad.2020.07.098,Data mining algorithm predicts a range of adverse outcomes in major depression,10.1038/mp.2015.198,Testing a machine-learning algorithm to predict the persistence and severity of major depressive disorder from baseline self-reports,judged,mo,['Sex similarities and differences in risk factors for recurrence of major depression'],['10.1017/s0033291717003178'],@kessler2016,gpt-5.6-luna,exact,True,2,@loo2017,,['@kessler2016'],"The abstract identifies a replication of a previously developed prediction model, and Kessler et al. (2016) is the listed study that tested such a model; the other cited works are background or methodological references.",same as old
10.1093/scan/nsaa153,Posterior medial frontal cortex and threat-enhanced religious belief: a replication and extension,10.3791/58204,Continuous Theta Burst Stimulation of the Posterior Medial Frontal Cortex to Experimentally Reduce Ideological Threat Responses,judged,mo,"['Neuromodulation of group prejudice and religious belief', 'Neuromodulation of group prejudice and religious belief', 'Neuromodulation of group prejudice and religious belief', 'Neuromodulation of group prejudice and religious belief']","['10.1093/scan/nsv107', '10.1093/scan/nsv107', '10.1093/scan/nsw017', '10.1093/scan/nsw017']",@holbrook2018,gpt-5.6-luna,exact,True,3,@holbrook2015,,['@holbrook2015'],The paper explicitly describes its pre-registered replication of Holbrook and colleagues’ two findings; other cited works provide background rather than findings this paper re-tests.,switches to MO's
10.16910/jemr.12.4.10,Binocular advantages in reading revisited: attenuating effects of individual horizontal heterophoria,10.1016/j.cub.2014.01.014,Binocular Advantages in Reading,judged,mo,['Individual differences in binocular coordination are uncovered by directly comparing monocular and binocular reading conditions'],['10.1167/iovs.12-9707'],@jainta2014,gpt-5.6-luna,exact,True,3,@jainta2012,,['@jainta2014'],The paper explicitly calls the new large-scale study a replication of its earlier small-sample heterophoria finding; the other cited works are not identified as findings this paper re-tests.,same as old
10.1038/s41598-021-87130-0,Lack of association of CD44-rs353630 and CHI3L2-rs684559 with pancreatic ductal adenocarcinoma survival,10.1093/carcin/bgw080,Association of genetic polymorphisms with survival of pancreatic ductal adenocarcinoma patients,judged,mo,['Identification and validation of a biomarker signature in patients with resectable pancreatic cancer via genome-wide screening for functional genetic variants'],['10.1001/jamasurg.2019.0484'],@rizzato2016,gpt-5.6-luna,exact,True,0,@dimitrakopoulos2019,,['@rizzato2016'],"The paper explicitly re-tests the reported survival associations for the two named markers, matching the listed study on genetic polymorphisms and pancreatic ductal adenocarcinoma survival; its other citations are not identified as findings being re-tested.",same as old
10.1038/s41598-021-91976-9,The effect of congenital blindness on resting-state functional connectivity revisited,10.3389/fnsys.2014.00051,Resting state functional connectivity in early blind humans,judged,both,['Resting state connectivity differences in eyes open versus eyes closed conditions'],['10.1002/hbm.24539'],@burton2014,gpt-5.6-luna,exact,True,2,@agcaoglu2019,,[],"The abstract identifies a prior lower-connectivity finding and tests group differences in RSFC, but it does not name the original study, and the cited references include multiple plausible blind-brain connectivity studies.",declines
10.5753/sbqs.2016.15130,Experimental Evaluation of FMCheck: A Replication Study,10.1109/sbcars.2012.25,Checklist-Based Inspection Technique for Feature Models Review,judged,both,['Verification of software product line artifacts: A checklist to support feature model inspections'],['10.3217/jucs-020-05-0720'],@mello2012,gpt-5.6-luna,exact,True,0,,,['@mello2012'],"The abstract explicitly says this paper replicates the developers’ earlier FMCheck study, which matches the listed checklist-based feature-model inspection study; other references are background or unrelated work.",same as old
10.1002/jae.2850,"A one covariate at a time, multiple testing approach to variable selection in high‐dimensional linear regression models: A replication in a narrow sense",10.3982/ecta14176,"A One Covariate at a Time, Multiple Testing Approach to Variable Selection in High-Dimensional Linear Regression Models",judged,split,"['A one covariate at a time, multiple testing approach to variable selection in highdimensional linear regression models']",['10.24149/gwp290'],@chudk2018,gpt-5.6-luna,exact,True,0,@chudk2018,,['@chudk2018'],"The abstract explicitly re-tests Chudik, Kapetanios, and Pesaran’s 2018 OCMT results; the other listed reference is not identified as a target.",same as old
10.1007/s00426-021-01593-4,Mental heartbeat tracking and rating of emotional pictures are not related,10.1111/j.1469-8986.1981.tb02486.x,Heart Beat Perception and Emotional Experience,judged,mo,"['On the relationship between interoceptive awareness, emotional experience, and brain processes']",['10.1016/j.cogbrainres.2005.09.019'],@schandry1981,gpt-5.6-luna,exact,True,1,@pollatos2005,,[],"The abstract explicitly says it conceptually replicates prior empirical findings, but does not identify the original papers or establish how many distinct papers those findings came from, and the reference list alone cannot identify which cited works were targets.",declines
10.1111/spsr.12479,Boosting the Understanding and Approval of Anti‐Corona Measures–Reducing Exponential Growth Bias and its Effects through Educational Nudges,10.1016/j.socscimed.2020.113473,Exponential-growth prediction bias and compliance with safety measures related to COVID-19,judged,mo,['Correcting misperceptions of exponential coronavirus growth increases support for social distancing'],['10.1073/pnas.2006048117'],@banerjee2020,gpt-5.6-luna,exact,True,2,@lammers2020,,['@lammers2020'],"The abstract explicitly identifies a replication of the March 2020 U.S. MTurk SARS-CoV-2 experiment, which uniquely matches Lammers et al.; the other cited works are not identified as re-tested.",switches to MO's
10.1111/ejn.15512,Microstructural white matter abnormalities in Lesch–Nyhan disease,10.1212/wnl.0000000000001128,Brain white matter volume abnormalities in Lesch-Nyhan disease and its variants,judged,mo,['Regional brain volume abnormalities in Lesch-Nyhan disease and its variants: A cross-sectional study'],['10.1016/s1474-4422(13)70238-2'],@schretlen2014,gpt-5.6-luna,exact,True,1,@schretlen2013,,[],"The abstract explicitly re-tests a prior voxel-based morphometry white-matter volume finding, while the supplied wording does not distinguish between the potentially relevant listed Schretlen records; the other references are not presented as findings re-tested here.",declines
10.1371/journal.pone.0262902,Examining the reliability and validity of two versions of the Effort-Expenditure for Rewards Task (EEfRT),10.1371/journal.pone.0006598,Worth the ‘EEfRT’? The Effort Expenditure for Rewards Task as an Objective Measure of Motivation and Anhedonia,judged,mo,"['Trait anticipatory pleasure predicts effort expenditure for reward', 'A low dosage of the dopamine D2-receptor antagonist sulpiride affects effort allocation for reward regardless of trait extraversion']","['10.1371/journal.pone.0131357', '10.1017/pen.2020.7']",@treadway2009,gpt-5.6-luna,exact,True,5,@geaney2015,,[],"The abstract explicitly claims to replicate the EEfRT versions’ split-half reliability, but it does not name the source study; the other reported personality-trait comparisons are between this paper’s own studies, not clearly re-tests of a cited original.",declines
10.1080/13803611.2021.2022316,Effects of early mathematics intervention for low-SES pre-kindergarten and kindergarten students: a replication study,10.1016/j.ecresq.2004.01.002,Enhancing young children’s mathematical knowledge through a pre-kindergarten mathematics intervention,judged,mo,['Effects of a pre-kindergarten mathematics intervention: A randomized experiment'],['10.1080/19345740802114533'],@starkey2004,gpt-5.4-mini,exact,True,0,@klein2008,,[],"The abstract explicitly re-tests the efficacy of Pre-K Mathematics, but names no original study, and the supplied references include more than one plausible intervention study.",declines
10.1371/journal.pone.0263879,The real-time status of strong and weak islands,10.1353/lan.2006.0217,The real-time status of island phenomena,judged,mo,['Parsing WH-constructions: evidence for on-line gap location'],['10.1080/01690968608407062'],@phillips2006,gpt-5.6-luna,exact,True,0,@stowe1986,,['@phillips2006'],"Experiment 1 is explicitly described as a conceptual replication of prior strong-island processing findings, uniquely matching Phillips’s listed work; Experiment 2 is described as analogous rather than as a re-test of another named study.",same as old
10.1080/20473869.2022.2044594,Personality traits predict attitudes toward individuals with intellectual disability,10.1177/0265407510385494,Contact and knowledge as predictors of attitudes toward individuals with intellectual disabilities,judged,split,['The role of personality variables in predicting attitudes toward people with intellectual disability: An Australian perspective'],['10.1111/jir.12180'],@mcmanus2010,gpt-5.6-luna,exact,True,0,@page2015,,['@mcmanus2010'],McManus et al. is the identifiable target because the paper uses their contact and knowledge measures and explicitly reports replicating the prior quality-of-contact finding; other cited works are not shown to have their findings re-tested.,same as old
10.1111/sjop.12816,To vaccinate or not: The relationship between conscientiousness and individual attitudes toward vaccination in real‐life contexts,10.1186/s12889-020-09840-w,Personality and individual attitudes toward vaccination: a nationally representative survey in the United States,judged,both,"[""Personality and demographic correlates of New Zealanders' confidence in the safety of childhood vaccinations""]",['10.1016/j.vaccine.2017.09.061'],@lin2020,gpt-5.6-luna,exact,True,3,@lee2017,,[],"Only Study 1 is explicitly described as replicating prior findings; the abstract does not identify their source, while Studies 2 and 3 are presented as extensions to real-life behavior.",declines
10.3390/ijerph19084912,"Materialism, Egocentrism and Delinquent Behavior in Chinese Adolescents in Mainland China: A Short-Term Longitudinal Study",10.1080/15374410903401179,The Cost of Materialism in a Collectivistic Culture: Predicting Risky Behavior Engagement in Chinese Adolescents,judged,mo,['Concurrent and longitudinal predictors of adolescent delinquency in mainland Chinese adolescents: The role of materialism and egocentrism'],['10.3390/ijerph17207662'],@auerbach2009,gpt-5.6-luna,exact,True,9,@shek2020_3,,['@shek2020_3'],"The abstract explicitly identifies a prior Chinese study as the replication target, and the listed Shek et al. (2020) record uniquely matches the materialism, egocentrism, and adolescent delinquency focus; the other cited works are not identified as being re-tested.",switches to MO's
10.3758/s13423-022-02158-1,"Pragmatic, constructive, and reconstructive memory influences on the hindsight bias",10.1037/0096-1523.1.3.288,Hindsight is not equal to foresight: The effect of outcome knowledge on judgment under uncertainty.,judged,mo,"['On the psychology of experimental surprises', 'On the psychology of experimental surprises']","['10.1037/0096-1523.3.4.544', '10.1037/0096-1523.3.4.544']",@fischhoff1975,gpt-5.6-luna,exact,True,1,@slovic1977,,['@fischhoff1975'],"The abstract explicitly reports replicating the two hindsight-bias designs, and Fischhoff (1975) is the listed record that fits the classic memory design; other cited works are not identified as findings this paper re-tests.",same as old
10.3390/cells11203242,Decreased Oligodendrocyte Number in Hippocampal Subfield CA4 in Schizophrenia: A Replication Study,10.3389/fncel.2016.00078,Oligodendrocyte and Interneuron Density in Hippocampal Subfields in Schizophrenia and Association of Oligodendrocyte Number with Cognitive Deficits,judged,mo,['Stereologic investigation of the posterior part of the hippocampus in schizophrenia'],['10.1007/s00401-008-0430-y'],@falkai2016_2,gpt-5.6-luna,exact,True,2,@schmitt2008,,['@falkai2016_2'],"The abstract explicitly says it re-tests the authors’ earlier CA4 and DG findings, which match the listed hippocampal-subfield study; other cited works are not identified as the findings being re-tested.",same as old
10.3389/fpsyg.2022.932592,The effects of wakeful rest on memory consolidation in an online memory study,10.3389/fnbeh.2017.00054,Non-Interfering Effects of Active Post-Encoding Tasks on Episodic Memory Consolidation in Humans,judged,mo,"['Promotion and suppression of autobiographical thinking differentially affect episodic memory consolidation', 'Promotion and suppression of autobiographical thinking differentially affect episodic memory consolidation']","['10.1371/journal.pone.0201780', '10.1371/journal.pone.0201780']",@varma2017,gpt-5.6-luna,exact,True,2,@varma2018,,['@varma2017'],Varma and colleagues are explicitly identified as the finding the paper tests; the other cited works are presented as background or materials rather than as specific findings re-tested.,same as old
10.1017/s1366728922000748,The contributions of proficiency and semantics to the bilingual sentence superiority effect,10.1038/s41598-021-99565-6,The contribution of semantics to the sentence superiority effect,judged,mo,['Unified syntax in the bilingual mind'],['10.3758/s13423-019-01666-x'],@massol2021,gpt-5.6-luna,exact,True,1,@declerck2019,,['@declerck2019'],"The abstract explicitly identifies a replication of the bilingual SSE, which matches Declerck et al. (2019); the semantic contribution is presented as an additional result, not as a stated re-test of Massol et al. (2021).",switches to MO's
10.1098/rstb.2021.0459,"Looking at the Ebbinghaus illusion: differences in neurocomputational requirements, not gaze-mediated attention, explain a classic perception-action dissociation",10.1016/s0960-9822(01)00023-9,The dissociation between perception and action in the Ebbinghaus illusion,judged,mo,['Size-contrast illusions deceive the eye but not the hand'],['10.1016/s0960-9822(95)00133-3'],@haffenden2001,gpt-5.6-luna,exact,True,1,@aglioti1995,,[],"The abstract explicitly reports replicating the classic dissociation, establishing a target, but it names no original study and multiple listed papers concern the Ebbinghaus perception-action dissociation.",declines
10.1007/s10763-023-10368-9,The Novelty Effect on Assessment Interventions: a Qualitative Replication Study of Oral Performance Assessment in Undergraduate Mathematics,10.1080/02602938.2014.961124,Students’ views of oral performance assessment in mathematics: straddling the ‘assessment of’ and ‘assessment for’ learning divide,judged,mo,"[""The impact of high stakes oral performance assessment on students' approaches to learning: A case study""]",['10.1007/s10649-020-09937-4'],@iannone2014,gpt-5.6-luna,exact,True,0,@iannone2020,,[],"The paper explicitly re-tests a previous oral-assessment study, but the supplied text does not connect that description to one specific listed record, and more than one listed Iannone study could fit.",declines
10.1515/cti-2022-0032,Don’t we know enough about models? Integrating a replication study into an introductory chemistry course in higher education,10.1039/d0rp00084a,Evaluation of the students’ understanding of models in science (SUMS) for use in undergraduate chemistry,judged,mo,"[""Students' understanding of the role of scientific models in learning science""]",['10.1080/09500690110066485'],@lazenby2020,gpt-5.6-luna,exact,True,1,@treagust2002,,[],"The abstract identifies a SUMS replication but does not say which published study’s finding it re-tests, and the SUMS-related references do not establish that link.",declines
10.1093/schbul/sbad161,A Cross-sectional Conceptual Replication and Longitudinal Evaluation of the PANSS-Autism-Severity-Score Measure Suggests it Does Not Capture Autistic Traits in Individuals With Psychosis,10.1016/j.psychres.2018.10.074,Looking through autistic features in schizophrenia using the PANSS Autism Severity Score (PAUSS),judged,mo,['Autism beyond diagnostic categories: characterization of autistic phenotypes in schizophrenia'],['10.1186/s12888-015-0494-x'],@deste2018,gpt-5.6-luna,exact,True,1,@kstner2015,,['@deste2018'],"The paper says it repeated analyses from the original PAUSS validation, which matches Deste et al. (2018); the other cited works are not identified as the validation being re-tested.",same as old
10.1002/mrm.29947,Replication of the <scp>bSTAR</scp> sequence and open‐source implementation,10.1002/mrm.29757,Submillimeter lung MRI at 0.55 T using balanced steady‐state free precession with half‐radial dual‐echo readout (bSTAR),judged,mo,"['Balanced steady-state free precession thoracic imaging with half-radial dual-echo readout on smoothly interleaved archimedean spirals', 'Free-breathing half-radial dual-echo balanced steady-state free precession thoracic imaging with wobbling Archimedean spiral pole trajectories']","['10.1002/mrm.28119', '10.1016/j.zemedi.2022.01.003']",@bauman2023,gpt-5.6-luna,exact,True,0,@bieri2022,,['@bauman2023'],"The paper explicitly reproduces bSTAR figures and compares its implementation with original bSTAR, matching the listed Bauman et al. 2023 bSTAR paper; the other cited works are background or methods references.",same as old
10.1371/journal.pgen.1011192,Canadian COVID-19 host genetics cohort replicates known severity associations,10.1038/s41586-021-03767-x,Mapping the human genetic architecture of COVID-19,judged,mo,"['A second update on mapping the human genetic architecture of COVID-19', 'A second update on mapping the human genetic architecture of COVID-19', 'A second update on mapping the human genetic architecture of COVID-19']","['10.1038/s41586-023-06355-3', '10.1038/s41586-023-06355-3', '10.1038/s41586-023-06355-3']",@initiative2021,gpt-5.6-luna,exact,True,1,,,['@initiative2021'],The paper explicitly re-tests HGI-reported loci and reports replication; other cited works are not identified as findings this paper re-tests.,same as old
10.1089/cyber.2024.0136,Does Online Dating Make Relationships More Successful? Replication and Extension of a Previous Study,10.1073/pnas.1222447110,Marital satisfaction and break-ups differ across on-line and off-line meeting venues,judged,mo,['The online dating effect: Where a couple meets predicts the quality of their marriage'],['10.1016/j.chb.2023.107973'],@cacioppo2013,gpt-5.6-luna,exact,True,1,@sharabi2023,,[],"The abstract explicitly says it replicates one previous study, but supplies no author, year, or title, and the described finding does not uniquely distinguish among the listed records; other listed works are not identified as re-tested.",declines
10.70923/001c.72403,Attempted Replication of Excess Heat in the Letts Dual-laser Experiment,10.70923/001c.72121,Terahertz difference frequency response of PdD in two-laser experiments,judged,both,['Highly reproducible LENR experiments using dual laser stimulation'],['https://brillouinenergy.com/newwebsite/wp-content/uploads/2018/11/highly-reproducible-lenr-experiments-using-dual-laser-stimulation.pdf'],@hagelstein2010,gpt-5.6-luna,exact,True,1,,,[],"The paper explicitly re-tests the dual-laser excess-heat finding attributed to Letts, but the supplied text does not distinguish between the two listed 2010 records that could fit; the other references are not identified as findings being re-tested.",declines
10.3389/fpsyg.2024.1472489,Setting the tone: crossmodal emotional face-voice combinations in continuous flash suppression,10.1037/1528-3542.7.4.882,Fearful expressions gain preferential access to awareness during continuous flash suppression.,judged,split,['Are visual threats prioritized without awareness? A critical review and meta-analysis involving 3 behavioral paradigms and 2696 observers'],['10.1037/bul0000054'],@yang2007,gpt-5.6-luna,exact,True,0,@hedger2016,,[],"The abstract explicitly re-tests the earlier fearful-face threat-bias finding, but it does not name its source, and the supplied evidence does not distinguish among the listed studies that could fit; other cited works are not identified as re-tested.",declines
10.1007/s00426-025-02211-3,Attentional capture by real and illusory faces: a failure to replicate,10.3758/s13414-021-02267-4,A visual search advantage for illusory faces in objects,judged,mo,"['Attention capture by faces', 'Attention capture by faces']","['10.1016/j.cognition.2007.07.012', '10.1016/j.cognition.2007.07.012']",@keys2021,gpt-5.6-luna,exact,True,1,@langton2007,,[],"The title and abstract indicate a re-test of prior attentional-capture findings, but they do not connect that re-test to any specific cited original, so no listed record can be matched confidently.",declines
10.1093/oncolo/oyab021,Physician Perceptions of the FDA’s Breakthrough Therapy Designation: An Update,10.1001/jama.2015.16984,Physicians’ Knowledge About FDA Approval Standards and Perceptions of the “Breakthrough Therapy” Designation,control,agrees_with_mo,"[""Physicians' knowledge about FDA approval standards and perceptions of the 'breakthrough therapy' designation""]",['10.1001/jama.2015.16984'],@kesselheim2016,gpt-5.6-luna,exact,True,0,@kesselheim2016,,['@kesselheim2016'],"The paper explicitly re-tests questions from the 2016 survey, which matches Kesselheim et al.; the other listed works are not identified as the source of the survey questions.",same as old
10.1371/journal.pone.0023371,Large Scale Replication Study of the Association between HLA Class II/BTNL2 Variants and Osteoarthritis of the Knee in European-Descent Populations,10.1371/journal.pone.0009723,New Sequence Variants in HLA Class II/III Region Associated with Susceptibility to Knee Osteoarthritis Identified by Genome-Wide Association Study,control,agrees_with_mo,"['New sequence variants in HLA class II/III region associated with susceptibility to knee osteoarthritis identified by genome-wide association study', 'New sequence variants in HLA class II/III region associated with susceptibility to knee osteoarthritis identified by genome-wide association study']","['10.1371/journal.pone.0009723', '10.1371/journal.pone.0009723']",@nakajima2010,gpt-5.6-luna,exact,True,3,@nakajima2010,,['@nakajima2010'],The paper re-tests the HLA-region knee OA associations from Nakajima et al. (2010); the other listed works provide background or methods rather than findings tested here.,same as old
10.1121/10.0015093,Revisiting the left ear advantage for phonetic cues to talker identification,10.1016/j.bandl.2006.06.002,Training to use voice onset time as a cue to talker identification induces a left-ear/right-hemisphere processing advantage,control,agrees_with_mo,"['Training to use voice onset time as a cue to talker identification induces a left-ear/right-hemisphere processing advantage', 'Training to use voice onset time as a cue to talker identification induces a left-ear/right-hemisphere processing advantage']","['10.1016/j.bandl.2006.06.002', '10.1016/j.bandl.2006.06.002']",@francis2006,gpt-5.6-luna,exact,True,0,@francis2006,,['@francis2006'],"Both experiments explicitly aim to replicate the left-ear-advantage finding, which uniquely matches Francis and Driscoll (2006); the other cited works are not identified as findings re-tested here.",same as old
10.5430/jnep.v3n6p51,Logo-autobiography and its effectiveness on depressed Korean immigrant women: A replication study,10.1177/1043659612452005,Logo-Autobiography and Its Effectiveness on Depressed Korean Immigrant Women,control,agrees_with_mo,['Logo-Autobiography and its effectiveness on depressed Korean immigrant women'],['10.1177/1043659612452005'],@cho2012,gpt-5.4-mini,exact,True,3,@cho2012,,['@cho2012'],"The replication title and matching 2012 reference identify Cho et al. as the target; other cited works are presented as background, measures, or methods rather than as findings re-tested here.",same as old
10.1158/1055-9965.epi-11-0396,Circulating Soluble CD30 and Future Risk of Lymphoma; Evidence from Two Prospective Studies in the General Population,10.1182/blood-2009-04-217521,A prospective study of serum soluble CD30 concentration and risk of non-Hodgkin lymphoma,control,agrees_with_mo,['A prospective study of serum soluble CD30 concentration and risk of non-Hodgkin lymphoma'],['10.1182/blood-2009-04-217521'],@purdue2009,gpt-5.6-luna,exact,True,0,@purdue2009,,['@purdue2009'],"The paper re-tests the prior general-population finding about prediagnostic sCD30 and lymphoma risk, which matches Purdue et al. (2009); the other cited works provide context or methods rather than findings this study re-tests.",same as old
10.3389/fpsyg.2021.662828,Replication Studies on Significant Differences in Personality Profiles of Securely and Insecurely Attached Psychotherapists and Dentists,10.3389/fpsyg.2020.00611,"Significant Differences in Personality Styles of Securely and Insecurely Attached Psychotherapists: Data, Reflections and Implications",control,agrees_with_mo,"['Significant differences in personality styles of securely and insecurely attached psychotherapists. Data, reflections and implications', 'Significant differences in personality styles of securely and insecurely attached psychotherapists. Data, reflections and implications', 'Significant differences in personality styles of securely and insecurely attached psychotherapists. Data, reflections and implications']","['10.3389/fpsyg.2020.00611', '10.3389/fpsyg.2020.00611', '10.3389/fpsyg.2020.00611']",@peter2020_2,gpt-5.6-luna,exact,True,1,@peter2020_2,,['@peter2020_2'],"The paper explicitly re-tests the preceding attachment study, which matches the listed Peter and Böbel paper on securely and insecurely attached psychotherapists; the other cited works are not identified as targets.",same as old
10.1038/s41598-022-05923-3,Irrelevant insights make worldviews ring true,10.1016/j.cognition.2019.104122,The dark side of Eureka: Artificially induced Aha moments make facts feel true,control,agrees_with_mo,['The dark side of Eureka: Artificially induced aha moments make facts feel true'],['10.1016/j.cognition.2019.104122'],@laukkonen2019,gpt-5.6-luna,exact,True,1,@laukkonen2019,,['@laukkonen2019'],"The abstract identifies one direct replication of the aha-moment truth effect, and the reference list contains the matching Laukkonen et al. (2019) paper; the other listed works are not identified as re-tested.",same as old
10.1074/jbc.c112.394403,Growth of a Bacterium That Apparently Uses Arsenic Instead of Phosphorus Is a Consequence of Massive Ribosome Breakdown*,10.1126/science.1197258,RETRACTED: A Bacterium That Can Grow by Using Arsenic Instead of Phosphorus,control,agrees_with_mo,['RETRACTED: A Bacterium That Can Grow by Using Arsenic Instead of Phosphorus'],['10.1126/science.1197258'],@wolfesimon2010,gpt-5.6-luna,exact,True,0,@wolfesimon2010,,['@wolfesimon2010'],The paper explicitly re-examines the observations attributed to Wolfe-Simon et al.; the other listed works are cited for background or methods rather than as findings this paper re-tests.,same as old
10.1177/0145445515580533,Replication Study of the Milwaukee Inventory for Subtypes of Trichotillomania–Adult Version in a Clinically Characterized Sample,10.1007/s10862-007-9073-x,The Milwaukee Inventory for Subtypes of Trichotillomania-Adult Version (MIST-A): Development of an Instrument for the Assessment of “Focused” and “Automatic” Hair Pulling,control,agrees_with_mo,"['The Milwaukee Inventory for Subtypes of Trichotillomania-Adult version (MIST-A): Development of an instrument for the assessment of ""focused"" and ""automatic"" hair pulling']",['10.1007/s10862-007-9073-x'],@flessner2007,gpt-5.6-luna,exact,True,3,@flessner2007,,['@flessner2007'],"The title identifies a replication of the MIST-A, matching its listed development paper; other cited works are not identified as findings re-tested here.",same as old
10.1186/s12967-018-1488-5,A validation study of crescents in predicting ESRD in patients with IgA nephropathy,10.1681/asn.2016040433,A Multicenter Study of the Predictive Value of Crescents in IgA Nephropathy,control,agrees_with_mo,['A multicenter study of the predictive value of crescents in IgA nephropathy'],['10.1681/asn.2016040433'],@haas2016,gpt-5.6-luna,exact,True,3,@haas2016,,['@haas2016'],"The paper re-tests the working group's reported crescent–renal outcome association, which matches the listed multicenter study focused on the predictive value of crescents; the other cited works are not identified as the finding being validated.",same as old
10.1002/jcv2.12077,Subdimensions of social‐communication behavior in autism—A replication study,10.1111/jcpp.12510,Subdimensions of social‐communication impairment in autism spectrum disorder,control,agrees_with_mo,['Subdimensions of social-communication impairment in autism spectrum disorder'],['10.1111/jcpp.12510'],@bishop2016,gpt-5.6-luna,exact,True,0,,,['@bishop2016'],"The paper explicitly re-tests the prior three-factor model, which matches the listed Bishop et al. (2016) study; the other cited works are presented as background, methods, or related research rather than findings re-tested here.",same as old
10.1097/00001888-197801000-00005,Another look at learning style inventory and medical career choice,10.1097/00001888-197509000-00002,Primary care career choices and medical student learning styles,control,agrees_with_mo,['Primary care career choices and medical student learning styles'],['10.1097/00001888-197509000-00002'],@plovnick1975,gpt-5.6-luna,exact,True,0,@plovnick1975,,['@plovnick1975'],"The abstract explicitly presents this as a replication of prior findings about learning style and medical career choice, and the sole listed record uniquely matches that description.",same as old
10.1162/nol.a.15,Neural Oscillations in the Aging Brain Associated With Interference Control in Word Production,10.1371/journal.pone.0088674,Distinct Patterns of Brain Activity Characterise Lexical Activation and Competition in Spoken Word Production,control,agrees_with_mo,['Distinct patterns of brain activity characterise lexical activation and competition in spoken word production'],['10.1371/journal.pone.0088674'],@piai2014,gpt-5.6-luna,exact,True,3,@piai2014,,['@piai2014'],The abstract explicitly says it conceptually replicated the Piai et al. (2014) MEG study; other cited works are not identified as findings re-tested here.,same as old
10.1212/01.wnl.0000137051.33486.c7,Failure to confirm association of a polymorphism in <i>ABCB1</i> with multidrug-resistant epilepsy,10.1056/nejmoa021986,Association of Multidrug Resistance in Epilepsy with a Polymorphism in the Drug-Transporter GeneABCB1,control,agrees_with_mo,['Association of multidrug resistance in epilepsy with a polymorphism in the drug-transporter gene ABCB1'],['10.1056/nejmoa021986'],@siddiqui2003,gpt-5.6-luna,exact,True,0,@siddiqui2003,,['@siddiqui2003'],"The reported CC-genotype association is the finding explicitly re-tested, and Siddiqui et al. (2003) is the matching listed original; the other cited works are background or methodological references.",same as old
10.1093/bjsw/bcae011,Mindfulness-Based Social Work and Self-Care with Social Work Professionals: Replication and Expansion of a Randomised Controlled Trial,10.1007/s12144-023-04410-w,A randomised trial of Mindfulness-based Social Work and Self-Care with social workers,control,agrees_with_mo,['A randomised trial of mindfulness-based social work and self-care with social workers'],['10.1007/s12144-023-04410-w'],@maddock2023,gpt-5.6-luna,exact,True,2,@maddock2023,,['@maddock2023'],"The abstract explicitly says it replicates an earlier MBSWSC RCT, which uniquely matches the listed Maddock et al. randomised trial; other cited works are not identified as the finding being re-tested.",same as old
10.1111/j.1601-183x.2010.00649.x,Contribution of LPHN3 to the genetic susceptibility to ADHD in adulthood: a replication study,10.1038/mp.2010.6,"A common variant of the latrophilin 3 gene, LPHN3, confers susceptibility to ADHD and predicts effectiveness of stimulant medication",control,agrees_with_mo,"['A common variant of the latrophilin 3 gene, LPHN3, confers susceptibility to ADHD and predicts effectiveness of stimulant medication']",['10.1038/mp.2010.6'],@arcosburgos2010,gpt-5.6-luna,exact,True,5,@arcosburgos2010,,['@arcosburgos2010'],"The paper explicitly re-tests the recently reported LPHN3–ADHD association, which uniquely matches the listed Arcos-Burgos et al. study; the other cited works provide background or methods.",same as old
10.1007/s10484-020-09484-x,Efficiency of Illusory Choice Used as a Variant of Situation Selection for Regulating Emotions: Reduction of Positive Experience But Preservation of Physiological Downregulation,10.1038/s41598-017-12626-7,"The regulatory effect of choice in Situation Selection reduces experiential, exocrine and respiratory arousal for negative emotional stimulations",control,agrees_with_mo,"['The regulatory effect of choice in situation selection reduces experiential, exocrine and respiratory arousal for negative emotional stimulations']",['10.1038/s41598-017-12626-7'],@thuillard2017,gpt-5.6-luna,exact,True,5,@thuillard2017,,['@thuillard2017'],"The paper explicitly says it aimed to replicate the prior Situation selection observations, which match the listed Thuillard and Glauser study; other cited works are not identified as findings being retested.",same as old
